1.0171691732014216 0.9414199412812531 0.9337515963156839 -0.0136844184267126 120.0109748256841700 0.0060258185383617 0.6112963000013084  1.8849553952970106 400.9262388336827600 0.0000467517560796  0.0000446762503925 0.0000450399895936 -0.0003912421311583  0.0068012012824441 0.0104856407589135 0.0177807899195490  0.0162903069612812 -0.0162362197087551
1.0150427127638035 0.9413726020380981 0.9341740222761278 -0.0107832955820408 120.0077558160420500 -0.0007815816513657 0.6113151784217155  1.8849553930212199 400.9278198565901300 0.0000468312105424  0.0000446031328928 0.0000451562489946 -0.0004064253422319  0.0068023600903665 0.0104829008503009 0.0177826072256362  0.0162914417071653 -0.0162318063076537
1.0141795383986678 0.9413303928552065 0.9351910214541437 -0.0100334354735303 120.0073586576419900 -0.0002595198307638 0.6113340567758788  1.8849553911004504 400.9285593678536100 0.0000468875747749  0.0000445202061068 0.0000452149687721 -0.0004187644170504  0.0068054385716371 0.0104774772529694 0.0177837870105773  0.0162925736249115 -0.0162276335056752
1.0155203447567076 0.9421013943999670 0.9342056651084346 -0.0087945124714707 120.0082366437710800 0.0012449327156601 0.6113529349657911  1.8849553894352173 400.9281362651433400 0.0000469285423818  0.0000444106721173 0.0000452747858897 -0.0004277993684187  0.0068103105515855 0.0104695482571985 0.0177843282142490  0.0162937891853855 -0.0162225586731203
1.0165355837536674 0.9415601869796182 0.9360319725657188 -0.0082287240806534 120.0107812769610300 0.0031000151655539 0.6113718133580397  1.8849553878794143 400.9284415519090900 0.0000470234030229  0.0000442437784304 0.0000453041784816 -0.0004518349749949  0.0068294064012402 0.0104522142027256 0.0177850136239539  0.0162954104672081 -0.0162142569907726
1.0142688132538922 0.9407383232449899 0.9366184538094570 -0.0071999902792965 120.0071759247269900 -0.0060772218222365 0.6113906917118530  1.8849553864302500 400.9252401980664900 0.0000470708091434  0.0000441534092148 0.0000453009336513 -0.0004660649634908  0.0068507981511818 0.0104355502096222 0.0177843055741788  0.0162957688565949 -0.0162101022052064
1.0155057392930082 0.9397702225383232 0.9381906144885392 -0.0060007786787317 120.0065642527557700 -0.0040590139369035 0.6114095699222418  1.8849553851520786 400.9209864785804000 0.0000471211845026  0.0000440914126490 0.0000452900716094 -0.0004772089484675  0.0068728166387256 0.0104181815137971 0.0177831971321630  0.0162965105952151 -0.0162063850867644
1.0130685875921102 0.9415778642373505 0.9375755376626344 -0.0045988224968596 120.0087018247346900 -0.0014771905774442 0.6114284481461331  1.8849553841162496 400.9176684696012100 0.0000471469759922  0.0000439887548968 0.0000451796718186 -0.0004872232486432  0.0068970812049112 0.0104020485202524 0.0177816864874805  0.0162966793518659 -0.0162039754889720
1.0149377464866154 0.9425154529891850 0.9361019606513563 -0.0022136363312584 120.0105784877896300 0.0011160779011110 0.6114473264956836  1.8849553835074861 400.9152193358916600 0.0000471590241305  0.0000438685542593 0.0000450881607250 -0.0005065572485690  0.0069529100187929 0.0103698321761049 0.0177777185428988  0.0162957729863474 -0.0162010034900575
1.0126194762080534 0.9415043888883894 0.9373598250565538 -0.0017931952674317 120.0072492456884800 -0.0052953025711042 0.6114662048023581  1.8849553831077912 400.9115507838304800 0.0000471853860848  0.0000438075453963 0.0000450483294877 -0.0005194584641687  0.0069844924861897 0.0103534179925906 0.0177756457584795  0.0162945137142889 -0.0162001940417015
1.0107595237316500 0.9446599474767691 0.9374815487874726 -0.0005537495800038 120.0100434155610900 -0.0046941361322148 0.6114850833482881  1.8849553828700085 400.9074239301282300 0.0000471666632386  0.0000438135432177 0.0000450412697091 -0.0005307517989832  0.0070221472545817 0.0103344731093478 0.0177727064348825  0.0162936267823936 -0.0161999346894824
1.0111774913611176 0.9461154091209590 0.9373269714527016 -0.0003788939558925 120.0100910796419500 -0.0016482511294899 0.6115039619023294  1.8849553828127865 400.9037157307358300 0.0000471261945362  0.0000438651667651 0.0000449983040436 -0.0005397046159663  0.0070585141766678 0.0103166878043493 0.0177696514381270  0.0162931447586510 -0.0162006589352692
1.0114453734201481 0.9461140141178130 0.9340394093834337 0.0002616933737385 120.0118986853466500 0.0006798122840260 0.6115228404750306  1.8849553827793426 400.9007587738974500 0.0000470528947348  0.0000439749360386 0.0000449823549429 -0.0005569349806963  0.0071340605308631 0.0102810143025761 0.0177631925159427  0.0162920547557947 -0.0162016222378499
1.0108435908782640 0.9446850632356577 0.9331435449412935 0.0009367524305723 120.0076373650943100 -0.0057078503717446 0.6115417188486151  1.8849553828561418 400.8968367049788500 0.0000470325371258  0.0000440266318495 0.0000450411323328 -0.0005662424346498  0.0071734110381366 0.0102630169058186 0.0177598524197481  0.0162912035336123 -0.0162017143073204
1.0110029972263550 0.9438530616577451 0.9323823205236267 0.0008573092932225 120.0088391654878700 -0.0034447012354485 0.6115605972945920  1.8849553829242829 400.8929001512419700 0.0000470066104658  0.0000440643077704 0.0000450819215084 -0.0005754653878454  0.0072142507170867 0.0102448486993859 0.0177563529894232  0.0162905047846635 -0.0162014334863019
1.0115624216843295 0.9432438077662402 0.9298760890715465 0.0024648798604393 120.0100036875596300 -0.0023356647315199 0.6115794758019518  1.8849553832711012 400.8890538724430100 0.0000469862654794  0.0000440954677309 0.0000451591184374 -0.0005851479923527  0.0072602401011181 0.0102247512022288 0.0177523528642820  0.0162892285547485 -0.0162017952304600
1.0137643077099543 0.9444053513198094 0.9307133093370714 0.0040711929166716 120.0110169710926600 -0.0000077210207150 0.6115983543048508  1.8849553839504651 400.8853029524291900 0.0000470078150679  0.0000441337246103 0.0000453409540857 -0.0006098515171415  0.0073529037696271 0.0101859687583516 0.0177446802633606  0.0162847776731662 -0.0162049586442074
1.0146093144858364 0.9415139302414451 0.9297220749706022 0.0043897205513296 120.0052884137557200 -0.0056833214704267 0.6116172325118960  1.8849553846690004 400.8810740626823300 0.0000470750205009  0.0000441512115861 0.0000454457433263 -0.0006255813207312  0.0073998591499148 0.0101667063024324 0.0177410301825961  0.0162820703694560 -0.0162068037356370
1.0164012739400445 0.9431835925264208 0.9288283719417397 0.0040303871272158 120.0061759510691800 -0.0025857575164033 0.6116361105914099  1.8849553854557868 400.8777806456403100 0.0000471697618333  0.0000441464968792 0.0000455764098657 -0.0006434348966070  0.0074431525449668 0.0101495317569227 0.0177379047873841  0.0162790011452602 -0.0162084680159549
1.0171278026785460 0.9446179634234196 0.9290423374432527 0.0051977004563231 120.0074821735944100 -0.0009344057560934 0.6116549886595325  1.8849553862964352 400.8753438295952400 0.0000472709620313  0.0000441783797935 0.0000457335913968 -0.0006620317178150  0.0074831080074483 0.0101340619885386 0.0177351518160212  0.0162760824157895 -0.0162100093636160
1.0157066628948150 0.9452001880271476 0.9288504513479305 0.0036852902586450 120.0082851451971100 0.0011328342941535 0.6116738666936010  1.8849553871917073 400.8729266508419200 0.0000474256284373  0.0000442814910906 0.0000459463054332 -0.0006930028232613  0.0075649836199116 0.0101024491728029 0.0177289367443896  0.0162715936829744 -0.0162129965984462
1.0141702065426366 0.9419131595068320 0.9300334252193926 0.0034197593772193 120.0042325731208900 -0.0049004749348768 0.6116927444610181  1.8849553879636356 400.8692302921799600 0.0000475032701172  0.0000443303510297 0.0000460657675827 -0.0007079307731792  0.0076058579560433 0.0100869573965491 0.0177257707900509  0.0162694900864615 -0.0162141875181871
1.0121613434469967 0.9430856372177169 0.9313332391037956 0.0042162119515599 120.0052753530570700 -0.0039196228233833 0.6117116222940290  1.8849553887149000 400.8655048372368700 0.0000475592820668  0.0000443885400667 0.0000461829436310 -0.0007191307329999  0.0076489980389822 0.0100704227810301 0.0177220986615123  0.0162678222282397 -0.0162154117657848
1.0116947638687532 0.9441656569742315 0.9314572549620458 0.0053371006608684 120.0059010108357900 -0.0017700763770380 0.6117305000749924  1.8849553897368332 400.8615568627122900 0.0000475944052120  0.0000444400842077 0.0000462485480393 -0.0007269128119009  0.0076956127543372 0.0100525668287828 0.0177178460426993  0.0162661829088549 -0.0162177865541155
1.0098062194831305 0.9461525545342023 0.9307072223937524 0.0053461727963898 120.0076154432993300 0.0020465707988193 0.6117493778226233  1.8849553906847103 400.8599398516641900 0.0000476159124219  0.0000445663861720 0.0000464046654086 -0.0007343174825012  0.0077670786689948 0.0100253327712422 0.0177110408794221  0.0162644864733377 -0.0162207400245639
1.0085310201335516 0.9463904018814876 0.9296238319801682 0.0047763094822378 120.0026855651671300 -0.0038402391521937 0.6117682555115772  1.8849553916117376 400.8574097760065900 0.0000476251602162  0.0000446633098235 0.0000465204589394 -0.0007376351989315  0.0077970601629887 0.0100140160774324 0.0177081903828751  0.0162642682207985 -0.0162208245174724
1.0097890365043118 0.9468528704307813 0.9294758406652133 0.0037981143576082 120.0042905660320700 -0.0014926389448488 0.6117871332132697  1.8849553923995743 400.8556712817089600 0.0000476403795764  0.0000447893919738 0.0000466271534238 -0.0007419768913523  0.0078267663196251 0.0100028667754519 0.0177054283556711  0.0162647193110448 -0.0162192291630131
1.0095362452242684 0.9502250951887903 0.9306088760403394 0.0044202362907392 120.0072504455528000 0.0021279848383399 0.6118060110742262  1.8849553931530969 400.8549923668421100 0.0000476599195339  0.0000449171782570 0.0000467291488301 -0.0007488303286873  0.0078522491682086 0.0099936905954834 0.0177032552573345  0.0162648584693515 -0.0162177946570467
1.0101530368238976 0.9524348447795958 0.9305382645310436 0.0050541756552439 120.0089915877191800 0.0047067002742043 0.6118248890655131  1.8849553939891015 400.8561200075877200 0.0000476621035052  0.0000452146186124 0.0000468583278653 -0.0007592135056717  0.0078863882669781 0.0099815390336197 0.0177004212824460  0.0162659495816941 -0.0162143896643731
1.0094801257831199 0.9497277820178167 0.9321937355196630 0.0058771037561854 120.0047100073922800 -0.0014756391687013 0.6118437670119165  1.8849553950646378 400.8561503377333100 0.0000476860709764  0.0000453575263165 0.0000469243251014 -0.0007684159674557  0.0079054205442521 0.0099751976005232 0.0176990356451905  0.0162657566332948 -0.0162134489611787
1.0089563920127156 0.9521790657921503 0.9306873293492628 0.0066909087659779 120.0049808439629700 0.0005979923083301 0.6118626449372582  1.8849553962468977 400.8562396388308600 0.0000476930474315  0.0000455245365117 0.0000470116355355 -0.0007746259601031  0.0079239624059012 0.0099687854757160 0.0176975171120514  0.0162663131023045 -0.0162113278753599
1.0084928923474179 0.9510861397893964 0.9294142631070808 0.0079646045486940 120.0061601786351400 0.0020095576453395 0.6118815226812643  1.8849553976221369 400.8572399139930600 0.0000476980474587  0.0000456900728030 0.0000470778239496 -0.0007780109398757  0.0079383314485592 0.0099637206132346 0.0176962536205061  0.0162668575049491 -0.0162100791084685
1.0106694727952197 0.9538465128106173 0.9291731610859975 0.0080799927874623 120.0083645628583800 0.0048217939281342 0.6119004005124630  1.8849553990769434 400.8582307804363200 0.0000477337527434  0.0000460097422697 0.0000472255498853 -0.0007909218273808  0.0079716625989127 0.0099525846791114 0.0176935902612616  0.0162672345035601 -0.0162074566110957
1.0084148045668506 0.9494508193964539 0.9301013710008699 0.0082559274834234 120.0032436526850400 -0.0002459061114432 0.6119192781911090  1.8849554006351452 400.8590915809126600 0.0000477386524170  0.0000461660827002 0.0000472975573013 -0.0007948350046762  0.0079840569614956 0.0099484125416148 0.0176925528771797  0.0162675363629133 -0.0162064539552721
